# Simulated data
# sigma generated using Sedlak et al, k=100000, c=0.55, https://doi.org/10.1107/S1600576717003077, and rebinned with 10 per bin)
# q            I            sigma       
  2.01100e-01  1.12037e-03  9.89047e-05 
  2.02351e-01  7.86631e-04  9.83129e-05 
  2.03602e-01  9.68175e-04  9.77096e-05 
  2.04852e-01  9.38768e-04  9.70973e-05 
  2.06103e-01  8.75779e-04  9.64785e-05 
  2.07353e-01  9.62600e-04  9.58557e-05 
  2.08604e-01  1.09136e-03  9.52316e-05 
  2.09855e-01  7.67653e-04  9.46085e-05 
  2.11105e-01  8.06175e-04  9.39887e-05 
  2.12356e-01  8.98371e-04  9.33745e-05 
  2.13607e-01  7.63595e-04  9.27678e-05 
  2.14857e-01  7.23414e-04  9.21704e-05 
  2.16108e-01  8.21631e-04  9.15837e-05 
  2.17358e-01  6.69960e-04  9.10088e-05 
  2.18609e-01  5.82274e-04  9.04468e-05 
  2.19860e-01  4.55185e-04  8.98983e-05 
  2.21110e-01  6.31369e-04  8.93635e-05 
  2.22361e-01  5.49302e-04  8.88427e-05 
  2.23612e-01  4.93025e-04  8.83356e-05 
  2.24862e-01  6.93553e-04  8.78421e-05 
  2.26113e-01  5.27167e-04  8.73617e-05 
  2.27363e-01  4.92603e-04  8.68937e-05 
  2.28614e-01  4.16354e-04  8.64376e-05 
  2.29865e-01  3.73999e-04  8.59926e-05 
  2.31115e-01  4.35869e-04  8.55581e-05 
  2.32366e-01  4.29515e-04  8.51335e-05 
  2.33617e-01  3.88091e-04  8.47182e-05 
  2.34867e-01  4.66260e-04  8.43118e-05 
  2.36118e-01  4.54102e-04  8.39138e-05 
  2.37368e-01  3.96555e-04  8.35242e-05 
  2.38619e-01  3.01697e-04  8.31429e-05 
  2.39870e-01  3.51660e-04  8.27699e-05 
  2.41120e-01  4.07021e-04  8.24055e-05 
  2.42371e-01  2.54205e-04  8.20501e-05 
  2.43622e-01  3.87686e-04  8.17040e-05 
  2.44872e-01  1.43422e-04  8.13679e-05 
  2.46123e-01  4.15348e-04  8.10423e-05 
  2.47373e-01  3.09532e-04  8.07278e-05 
  2.48624e-01  1.96303e-04  8.04252e-05 
  2.49875e-01  1.16816e-04  8.01350e-05 
  2.51125e-01  7.27761e-05  7.98578e-05 
  2.52376e-01  2.37857e-04  7.95939e-05 
  2.53627e-01  1.94749e-04  7.93438e-05 
  2.54877e-01  2.90807e-04  7.91077e-05 
  2.56128e-01  2.97390e-04  7.88856e-05 
  2.57378e-01  2.67434e-04  7.86775e-05 
  2.58629e-01  1.90201e-04  7.84830e-05 
  2.59880e-01  1.59884e-04  7.83017e-05 
  2.61130e-01  2.28454e-04  7.81330e-05 
  2.62381e-01  2.24279e-04  7.79762e-05 
  2.63632e-01  2.44215e-04  7.78304e-05 
  2.64882e-01  1.73827e-04  7.76945e-05 
  2.66133e-01  1.43942e-04  7.75674e-05 
  2.67383e-01  2.17162e-04  7.74480e-05 
  2.68634e-01  2.75421e-04  7.73349e-05 
  2.69885e-01  2.09984e-04  7.72270e-05 
  2.71135e-01  2.73166e-04  7.71228e-05 
  2.72386e-01  2.24265e-04  7.70212e-05 
  2.73637e-01  3.63053e-04  7.69210e-05 
  2.74887e-01  3.01067e-04  7.68210e-05 
  2.76138e-01  2.30679e-04  7.67201e-05 
  2.77388e-01  2.37665e-04  7.66174e-05 
  2.78639e-01  2.75441e-04  7.65120e-05 
  2.79890e-01  1.77669e-04  7.64032e-05 
  2.81140e-01  3.42529e-04  7.62904e-05 
  2.82391e-01  3.79597e-04  7.61730e-05 
  2.83642e-01  4.60377e-04  7.60506e-05 
  2.84892e-01  2.48767e-04  7.59231e-05 
